City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bambous Virieux,MU,2022-06-13 22:39:15,-20.3428,57.7575,73.65,64,40,16.11
68,Sao Geraldo Do Araguaia,BR,2022-06-13 22:39:16,-6.4006,-48.555,74.5,89,59,1.68
69,Bambanglipuro,ID,2022-06-13 22:39:16,-7.95,110.2833,75.7,91,74,3.42
70,Nouadhibou,MR,2022-06-13 22:39:17,20.931,-17.0347,69.78,83,0,17.27
71,Lasa,IT,2022-06-13 22:39:17,46.6166,10.7002,61.68,86,4,4.83
72,Isangel,VU,2022-06-13 22:39:18,-19.55,169.2667,79.84,74,100,6.49
73,Deputatskiy,RU,2022-06-13 22:39:18,69.3,139.9,56.52,48,95,4.88
74,Igarka,RU,2022-06-13 22:38:53,67.4667,86.5833,60.13,75,47,6.38
75,Torbay,CA,2022-06-13 22:35:30,47.6666,-52.7314,53.28,80,75,5.75
76,Lebu,CL,2022-06-13 22:39:09,-37.6167,-73.65,50.43,91,100,10.11
77,Maniitsoq,GL,2022-06-13 22:39:19,65.4167,-52.9,36.63,73,11,17.38
78,Palana,RU,2022-06-13 22:39:20,59.1167,159.9667,41.11,84,99,4.74
79,Mar Del Plata,AR,2022-06-13 22:34:30,-38.0023,-57.5575,58.95,58,0,5.75
80,Port Hardy,CA,2022-06-13 22:34:31,50.6996,-127.4199,51.98,87,100,8.05
81,Cidreira,BR,2022-06-13 22:39:21,-30.1811,-50.2056,58.21,86,97,3.06
82,Kholodnyy,RU,2022-06-13 22:39:21,62.7167,147.95,52.74,67,100,14.09
83,San Quintin,MX,2022-06-13 22:39:22,30.4833,-115.95,69.76,71,2,18.1
84,Luderitz,NA,2022-06-13 22:39:22,-26.6481,15.1594,58.84,91,66,14.27
85,New Norfolk,AU,2022-06-13 22:39:19,-42.7826,147.0587,39.7,87,66,2.71
86,Siva,EG,2022-06-13 22:39:23,29.2041,25.5195,81.32,36,0,5.53
87,Vila Verde,PT,2022-06-13 22:39:24,41.6473,-8.4372,75.94,69,12,1.92
88,Vanavara,RU,2022-06-13 22:39:24,60.34,102.2797,58.77,86,87,1.74
89,Castro,BR,2022-06-13 22:39:24,-24.7911,-50.0119,44.78,80,0,3.51
90,Jiwani,PK,2022-06-13 22:39:25,25.05,61.7417,82.94,83,5,4.85
91,Barrow,US,2022-06-13 22:40:25,71.2906,-156.7887,35.62,80,40,17.27
92,Upernavik,GL,2022-06-13 22:40:26,72.7868,-56.1549,31.89,82,80,7.31
93,San Policarpo,PH,2022-06-13 22:40:26,12.1791,125.5072,82.49,77,50,6.15
94,Bredasdorp,ZA,2022-06-13 22:40:27,-34.5322,20.0403,55.31,77,100,9.53
95,Iquitos,PE,2022-06-13 22:40:27,-3.7481,-73.2472,77.04,69,75,3.44
96,Makkaveyevo,RU,2022-06-13 22:40:28,51.7533,113.9454,62.51,46,27,2.17
97,Chumikan,RU,2022-06-13 22:40:28,54.7183,135.315,42.17,98,100,2.73
98,Beitbridge,ZW,2022-06-13 22:40:28,-22.2167,30.0,59.92,37,0,2.26
99,George,ZA,2022-06-13 22:40:29,-33.963,22.4617,56.75,94,100,2.3
100,Nanortalik,GL,2022-06-13 22:40:29,60.1432,-45.2371,37.69,81,2,25.72
101,Port Elizabeth,ZA,2022-06-13 22:40:30,-33.918,25.5701,66.09,52,0,2.3
102,Chiang Rai,TH,2022-06-13 22:40:31,19.9167,99.9167,77.13,97,0,1.01
103,Severnyy,RU,2022-06-13 22:40:31,50.677,36.5532,64.44,88,0,2.24
104,Tornio,FI,2022-06-13 22:40:31,65.8481,24.1466,46.42,93,44,3.53
105,Punta,PH,2022-06-13 22:40:32,8.9897,125.34,78.42,84,100,3.42
106,Neuquen,AR,2022-06-13 22:40:32,-38.9516,-68.0591,46.29,61,0,0.0
107,Port Macquarie,AU,2022-06-13 22:40:33,-31.4333,152.9167,54.01,70,1,3.31
108,Coquimbo,CL,2022-06-13 22:39:39,-29.9533,-71.3436,53.33,82,100,5.75
109,Puri,IN,2022-06-13 22:40:07,19.8,85.85,84.72,87,64,12.62
110,Port Lincoln,AU,2022-06-13 22:36:11,-34.7333,135.8667,57.2,58,67,24.16
111,Kiama,AU,2022-06-13 22:40:34,-34.6833,150.8667,50.58,71,18,5.01
112,Chuy,UY,2022-06-13 22:40:35,-33.6971,-53.4616,51.78,92,22,4.65
113,Srednekolymsk,RU,2022-06-13 22:40:35,67.45,153.6833,68.11,25,0,13.09
114,Kapit,MY,2022-06-13 22:40:36,2.0167,112.9333,71.65,99,65,0.92
115,Pevek,RU,2022-06-13 22:40:17,69.7008,170.3133,36.03,77,51,6.29
116,Cherskiy,RU,2022-06-13 22:40:36,68.75,161.3,65.53,30,15,6.53
117,Yar-Sale,RU,2022-06-13 22:40:37,66.8333,70.8333,42.49,81,99,17.11
118,Longyan,CN,2022-06-13 22:40:37,25.1072,117.0225,73.04,99,100,2.89
119,Leshukonskoye,RU,2022-06-13 22:40:38,64.8989,45.7622,51.53,96,83,4.18
120,Yate,GB,2022-06-13 22:40:38,51.5407,-2.4184,54.54,76,15,3.29
121,Dauphin,CA,2022-06-13 22:40:39,51.1494,-100.0502,60.94,81,75,8.05
122,Mvangue,CM,2022-06-13 22:40:39,2.9667,11.5167,67.33,99,100,2.44
123,Kosh-Agach,RU,2022-06-13 22:40:40,50.0,88.6667,53.76,83,45,2.71
124,Iqaluit,CA,2022-06-13 22:40:40,63.7506,-68.5145,40.73,75,75,3.44
125,Pitimbu,BR,2022-06-13 22:40:41,-7.4706,-34.8086,75.79,80,5,7.72
126,Kavieng,PG,2022-06-13 22:40:41,-2.5744,150.7967,84.2,69,21,13.98
127,Charters Towers,AU,2022-06-13 22:40:42,-20.1,146.2667,59.0,55,11,6.35
128,Marsh Harbour,BS,2022-06-13 22:40:42,26.5412,-77.0636,82.36,74,75,10.98
129,Kabare,CD,2022-06-13 22:40:42,-2.4683,28.8242,59.67,94,71,0.18
130,Zhanaozen,KZ,2022-06-13 22:40:43,43.3,52.8,79.52,32,100,7.18
131,San Rafael,AR,2022-06-13 22:40:06,-34.6177,-68.3301,53.56,43,98,5.44
132,Martapura,ID,2022-06-13 22:40:43,-3.4167,114.85,75.29,100,100,2.3
133,Arrecife,ES,2022-06-13 22:40:44,28.963,-13.5477,69.78,78,20,12.66
134,Cabo San Lucas,MX,2022-06-13 22:40:01,22.8909,-109.9124,92.61,26,0,12.66
135,Mandan,US,2022-06-13 22:40:45,46.8267,-100.8896,82.38,88,100,18.41
136,Bengkulu,ID,2022-06-13 22:41:45,-3.8004,102.2655,75.4,84,72,3.51
137,Mitsamiouli,KM,2022-06-13 22:41:45,-11.3847,43.2844,76.96,71,19,3.49
138,Arraial Do Cabo,BR,2022-06-13 22:41:46,-22.9661,-42.0278,66.06,88,75,19.57
139,Qinhuangdao,CN,2022-06-13 22:41:46,39.9317,119.5883,64.65,94,100,7.63
140,Sucha Beskidzka,PL,2022-06-13 22:41:47,49.7419,19.5943,51.91,95,46,4.72
141,Gat,IL,2022-06-13 22:41:47,31.61,34.7642,71.4,100,0,1.12
142,Abu Zabad,SD,2022-06-13 22:41:48,12.35,29.25,81.93,56,100,6.96
143,Chokurdakh,RU,2022-06-13 22:37:18,70.6333,147.9167,68.65,30,0,18.39
144,Nome,US,2022-06-13 22:39:36,64.5011,-165.4064,44.67,66,100,11.5
145,Am Timan,TD,2022-06-13 22:41:49,11.0297,20.2827,79.12,66,88,8.72
146,Poum,NC,2022-06-13 22:39:08,-20.2333,164.0167,74.23,90,100,9.08
147,Bhatkal,IN,2022-06-13 22:41:49,13.9667,74.5667,79.56,83,99,3.96
148,Dukat,RU,2022-06-13 22:41:50,62.55,155.55,51.39,49,3,4.43
149,Butte,US,2022-06-13 22:41:50,39.6499,-121.5677,80.19,20,0,16.11
150,Lavumisa,SZ,2022-06-13 22:41:51,-27.31,31.892,56.5,49,46,5.12
151,Kindu,CD,2022-06-13 22:41:51,-2.95,25.95,69.24,94,95,1.52
152,Gigmoto,PH,2022-06-13 22:41:52,13.7796,124.39,83.08,81,97,7.85
153,Palauig,PH,2022-06-13 22:41:52,15.435,119.9045,82.83,75,93,3.06
154,Surgut,RU,2022-06-13 22:41:52,61.25,73.4167,51.98,93,100,8.95
