City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Fuyang,CN,79.39,scattered clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
456,Darapidap,PH,79.12,scattered clouds,17.2131,120.4114,Candon Beach Resort
457,Matay,EG,80.02,clear sky,28.419,30.7792,Nag Aespen
461,Northborough,US,84.85,scattered clouds,42.3195,-71.6412,Hampton Inn Boston/Marlborough
462,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
466,San Policarpo,PH,82.53,broken clouds,12.1791,125.5072,Agapita M. Nicart
468,Davila,PH,76.98,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
469,Balabag,PH,84.2,overcast clouds,11.97,121.9192,Astoria Boracay
478,Port Blair,IN,82.27,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
481,Pointe Michel,DM,80.91,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
482,Romitan,UZ,78.75,clear sky,39.9343,64.3814,Hotel Temur
489,Honiara,SB,81.86,overcast clouds,-9.4333,159.95,Heritage Park Hotel
495,Taybad,IR,77.74,clear sky,34.74,60.7756,لی پوش jean center
496,Elat,IL,80.31,clear sky,29.5581,34.9482,Club Hotel Eilat
499,Laguna,US,77.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
504,Manggar,ID,78.57,light rain,-2.8833,108.2667,Guest Hotel
508,Nieuw Amsterdam,SR,82.42,few clouds,5.8833,-55.0833,Hotel Stardust
513,Weligama,LK,77.27,overcast clouds,5.9667,80.4167,Weligama Bay Resort
515,Waingapu,ID,75.63,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
522,Tibu,CO,88.77,overcast clouds,8.639,-72.7358,Hotel Yuliana's
528,Kulhudhuffushi,MV,81.64,overcast clouds,6.6221,73.07,Haajy Guest House 1
529,San Javier,ES,84.22,broken clouds,37.8063,-0.8374,Hotel Mar Menor
534,Malabo,GQ,76.21,overcast clouds,3.75,8.7833,Magno Suites
537,Salamiyah,SY,78.12,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
541,Raton,US,89.94,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
543,Kasukabe,JP,76.01,moderate rain,35.9764,139.7536,やまや新館
545,Aloleng,PH,81.05,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
548,Santa Marta,CO,83.01,scattered clouds,11.2408,-74.199,Hotel La Ballena Azul
556,Fairbanks,US,77.59,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
558,El Rosario,MX,92.3,clear sky,24.2556,-107.1828,Mi casa
560,Caraballeda,VE,86.36,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
563,Tecoanapa,MX,81.57,overcast clouds,16.5167,-98.75,Hotel Manglares
565,Galesong,ID,75.22,light rain,-5.3166,119.3661,Sapriadi Appy
574,Mahibadhoo,MV,82.63,overcast clouds,3.7833,72.9667,Omadhoo Inn
576,Basco,PH,84.81,broken clouds,20.4487,121.9702,Nathaniel's Lodge
579,Sarangani,PH,82.83,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
587,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
589,Mantua,IT,81.64,overcast clouds,45.1667,10.7833,Hotel la Favorita
593,Boissevain,CA,79.65,few clouds,49.2306,-100.0559,Boissevain Campgrounds
596,Kieta,PG,81.68,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
597,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
598,Isangel,VU,79.81,overcast clouds,-19.55,169.2667,Tanna Lodge
603,Labuhan,ID,77.04,light rain,-6.8844,112.2051,DoubleFAG
604,Starkville,US,87.67,clear sky,33.4504,-88.8184,Hilton Garden Inn Starkville
607,Dhidhdhoo,MV,81.63,overcast clouds,6.8833,73.1,Dhidhoo beach
608,Mazatlan,MX,89.56,few clouds,23.2167,-106.4167,Hotel La Siesta
617,Tomatlan,MX,89.98,overcast clouds,19.9333,-105.25,El Salvial
620,La Seyne-Sur-Mer,FR,78.85,clear sky,43.0982,5.8847,Hôtel Première Classe Toulon La Seyne Sur Mer
623,Pundaguitan,PH,82.33,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
625,Sur,OM,87.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
627,Anloga,GH,76.14,moderate rain,5.7947,0.8973,Pin Drop Hotel
628,Manicore,BR,77.9,few clouds,-5.8092,-61.3003,Hotel Durval
631,Pucallpa,PE,87.84,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
632,Sola,VU,80.98,moderate rain,-13.8833,167.55,Leumerus Bungalows
634,Tucurui,BR,79.84,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
635,Banjar,ID,75.69,scattered clouds,-8.19,114.9675,The Hamsa Resort
644,Tangkak,MY,76.87,overcast clouds,2.2673,102.5453,Lakeside Village Homestay 水乡民宿
649,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
656,Touros,BR,75.72,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
658,Bom Jesus,BR,82.04,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
660,Muncar,ID,75.4,broken clouds,-8.4333,114.3333,Zaky Homestay
665,Prainha,BR,78.48,broken clouds,-1.8,-53.48,Casa Rocha
670,Dzilam Gonzalez,MX,85.86,broken clouds,21.2833,-88.9333,posadas
672,Oussouye,SN,82.58,overcast clouds,12.485,-16.5469,Auberge du Routard
673,Coahuayana,MX,86.13,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
676,Nishihara,JP,78.46,mist,26.1842,127.7558,Minshuku Agaihama
678,Da Nang,VN,80.58,few clouds,16.0678,108.2208,Grand Mercure Danang
680,Kaduqli,SD,79.52,overcast clouds,11.0167,29.7167,Nussyba
